Date/Time,Average Glucose level
Monday 12am,10.47
Monday 6am,10.47
Monday 12pm,8.75
Monday 6pm,9
Tuesday 12am,9.71
Tuesday 6am,9.54
Tuesday 12pm,10.64
Tuesday 6pm,10.18
Wednesday 12am,12.7
Wednesday 6am,12.68
Wednesday 12pm,10.36
Wednesday 6pm,11.67
Thursday 12am,10.37
Thursday 6am,11.88
Thursday 12pm,10.85
Thursday 6pm,11.59
Friday 12am,9.87
Friday 6am,9.92
Friday 12pm,7.28
Friday 6pm,10.26
Saturday 12am,10.83
Saturday 6am,8.33
Saturday 12pm,8.77
Saturday 6pm,9.55
Sunday 12am,10.72
Sunday 6am,10.69
Sunday 12pm,8.84
Sunday 6pm,7.9
