Date/Time,Average Glucose level
Monday 12am,3.13
Monday 6am,5.49
Monday 12pm,9.45
Monday 6pm,11.13
Tuesday 12am,6.49
Tuesday 6am,5.25
Tuesday 12pm,11.38
Tuesday 6pm,5.06
Wednesday 12am,4.46
Wednesday 6am,3.56
Wednesday 12pm,9.86
Wednesday 6pm,8.14
Thursday 12am,10.12
Thursday 6am,6.99
Thursday 12pm,11.13
Thursday 6pm,16.65
Friday 12am,15.23
Friday 6am,6.31
Friday 12pm,6.13
Friday 6pm,11.9
Saturday 12am,5.17
Saturday 6am,3.73
Saturday 12pm,7.42
Saturday 6pm,9.39
Sunday 12am,6.2
Sunday 6am,5.87
Sunday 12pm,4.39
Sunday 6pm,12.79
