Date/Time,Average Glucose level
Monday 12am,8.16
Monday 6am,4.68
Monday 12pm,6.22
Monday 6pm,4.86
Tuesday 12am,8.21
Tuesday 6am,4.42
Tuesday 12pm,4.83
Tuesday 6pm,7.4
Wednesday 12am,8.36
Wednesday 6am,9.06
Wednesday 12pm,4.73
Wednesday 6pm,8.91
Thursday 12am,10.51
Thursday 6am,8.8
Thursday 12pm,8.98
Thursday 6pm,6.83
Friday 12am,7.38
Friday 6am,8.13
Friday 12pm,9.48
Friday 6pm,11.44
Saturday 12am,6.42
Saturday 6am,3.68
Saturday 12pm,8.52
Saturday 6pm,8.9
Sunday 12am,8.73
Sunday 6am,5.81
Sunday 12pm,4.3
Sunday 6pm,7.45
