Date/Time,Average Glucose level
Saturday 12am,182.17
Saturday 1am,173.83
Saturday 2am,201.83
Saturday 3am,229.5
Saturday 4am,238.5
Saturday 5am,252.25
Saturday 6am,245.17
Saturday 7am,239.17
Saturday 8am,229.83
Saturday 9am,202.83
Saturday 10am,190.33
Saturday 11am,181.0
Saturday 12pm,257.42
Saturday 1pm,282.5
Saturday 2pm,209.25
Saturday 3pm,217.58
Saturday 4pm,174.92
Saturday 5pm,105.58
Saturday 6pm,90.0
Saturday 7pm,105.17
Saturday 8pm,112.58
Saturday 9pm,109.67
Saturday 10pm,111.88
Saturday 11pm,181.75
Sunday 12am,184.42
Sunday 1am,190.01
Sunday 2am,193.53
Sunday 3am,197.17
Sunday 4am,176.67
Sunday 5am,186.25
Sunday 6am,175.92
Sunday 7am,168.17
Sunday 8am,153.83
Sunday 9am,148.42
Sunday 10am,136.5
Sunday 11am,183.96
Sunday 12pm,221.75
Sunday 1pm,179.42
Sunday 2pm,110.17
Sunday 3pm,155.17
Sunday 4pm,151.75
Sunday 5pm,126.25
Sunday 6pm,124.58
Sunday 7pm,64.83
Sunday 8pm,76.75
Sunday 9pm,209.67
Sunday 10pm,170.92
Sunday 11pm,73.08
Monday 12am,72.95
Monday 1am,115.62
Monday 2am,162.42
Monday 3am,192.0
Monday 4am,196.42
Monday 5am,190.75
Monday 6am,178.75
Monday 7am,164.42
Monday 8am,154.0
Monday 9am,143.08
Monday 10am,170.75
Monday 11am,248.42
Monday 12pm,216.0
Monday 1pm,140.42
Monday 2pm,132.25
Monday 3pm,132.0
Monday 4pm,127.92
Monday 5pm,129.75
Monday 6pm,128.0
Monday 7pm,129.17
Monday 8pm,152.0
Monday 9pm,168.83
Monday 10pm,168.58
Monday 11pm,194.79
Tuesday 12am,250.75
Tuesday 1am,279.08
Tuesday 2am,286.08
Tuesday 3am,276.17
Tuesday 4am,267.08
Tuesday 5am,245.0
Tuesday 6am,229.83
Tuesday 7am,215.92
Tuesday 8am,196.42
Tuesday 9am,218.33
Tuesday 10am,274.08
Tuesday 11am,210.42
Tuesday 12pm,148.83
Tuesday 1pm,127.0
Tuesday 2pm,174.17
Tuesday 3pm,247.5
Tuesday 4pm,260.92
Tuesday 5pm,252.92
Tuesday 6pm,228.5
Tuesday 7pm,207.73
Tuesday 8pm,177.02
Tuesday 9pm,143.92
Tuesday 10pm,127.5
Tuesday 11pm,118.12
Wednesday 12am,92.33
Wednesday 1am,67.92
Wednesday 2am,65.33
Wednesday 3am,76.58
Wednesday 4am,98.17
Wednesday 5am,96.17
Wednesday 6am,82.08
Wednesday 7am,82.83
Wednesday 8am,101.67
Wednesday 9am,132.17
Wednesday 10am,119.58
Wednesday 11am,104.33
Wednesday 12pm,152.92
Wednesday 1pm,151.67
Wednesday 2pm,160.83
Wednesday 3pm,143.0
Wednesday 4pm,100.5
Wednesday 5pm,95.0
Wednesday 6pm,129.92
Wednesday 7pm,143.29
Wednesday 8pm,185.08
Wednesday 9pm,267.92
Wednesday 10pm,316.33
Wednesday 11pm,271.5
Thursday 12am,224.17
Thursday 1am,184.33
Thursday 2am,151.67
Thursday 3am,154.83
Thursday 4am,149.58
Thursday 5am,135.83
Thursday 6am,117.58
Thursday 7am,97.67
Thursday 8am,88.42
Thursday 9am,118.83
Thursday 10am,154.0
Thursday 11am,133.0
Thursday 12pm,138.25
Thursday 1pm,111.17
Thursday 2pm,100.29
Thursday 3pm,98.42
Thursday 4pm,107.17
Thursday 5pm,116.08
Thursday 6pm,159.08
Thursday 7pm,243.92
Thursday 8pm,271.67
Thursday 9pm,284.5
Thursday 10pm,281.25
Thursday 11pm,257.92
Friday 12am,220.25
Friday 1am,194.58
Friday 2am,164.0
Friday 3am,136.17
Friday 4am,119.92
Friday 5am,100.08
Friday 6am,104.83
Friday 7am,93.5
Friday 8am,97.0
Friday 9am,172.33
Friday 10am,157.75
Friday 11am,116.92
Friday 12pm,97.92
Friday 1pm,117.92
Friday 2pm,111.0
Friday 3pm,84.08
Friday 4pm,86.17
Friday 5pm,107.08
Friday 6pm,123.5
Friday 7pm,164.08
Friday 8pm,192.08
Friday 9pm,235.29
Friday 10pm,226.5
Friday 11pm,240.5
