Date/Time,Average Glucose level
Monday 12am,6.13
Monday 1am,3.78
Monday 2am,2.22
Monday 3am,2.22
Monday 4am,2.22
Monday 5am,2.22
Monday 6am,2.22
Monday 7am,2.22
Monday 8am,2.22
Monday 9am,3.72
Monday 10am,11.06
Monday 11am,11.5
Monday 12pm,8.61
Monday 1pm,6.67
Monday 2pm,6.89
Monday 3pm,10.17
Monday 4pm,12.44
Monday 5pm,11.94
Monday 6pm,11.17
Monday 7pm,11.78
Monday 8pm,13.39
Monday 9pm,9.28
Monday 10pm,11.28
Monday 11pm,9.89
Tuesday 12am,11.91
Tuesday 1am,8.87
Tuesday 2am,6.11
Tuesday 3am,4.67
Tuesday 4am,4.33
Tuesday 5am,3.06
Tuesday 6am,2.94
Tuesday 7am,2.61
Tuesday 8am,2.22
Tuesday 9am,2.5
Tuesday 10am,8.06
Tuesday 11am,13.17
Tuesday 12pm,12.06
Tuesday 1pm,11.5
Tuesday 2pm,15.06
Tuesday 3pm,13.89
Tuesday 4pm,9.78
Tuesday 5pm,6
Tuesday 6pm,3.39
Tuesday 7pm,3.17
Tuesday 8pm,4
Tuesday 9pm,4.5
Tuesday 10pm,7.72
Tuesday 11pm,7.56
Wednesday 12am,7.83
Wednesday 1am,6.89
Wednesday 2am,4.44
Wednesday 3am,3.17
Wednesday 4am,2.22
Wednesday 5am,2.22
Wednesday 6am,2.22
Wednesday 7am,2.22
Wednesday 8am,2.22
Wednesday 9am,5.33
Wednesday 10am,5.72
Wednesday 11am,3.67
Wednesday 12pm,6.56
Wednesday 1pm,12.22
Wednesday 2pm,11.22
Wednesday 3pm,10.89
Wednesday 4pm,9.89
Wednesday 5pm,8.39
Wednesday 6pm,5.94
Wednesday 7pm,4.44
Wednesday 8pm,4.06
Wednesday 9pm,11.89
Wednesday 10pm,13.5
Wednesday 11pm,9
Thursday 12am,11.56
Thursday 1am,8.11
Thursday 2am,8.61
Thursday 3am,10.44
Thursday 4am,11.44
Thursday 5am,10.56
Thursday 6am,9.72
Thursday 7am,8.72
Thursday 8am,8.22
Thursday 9am,8.06
Thursday 10am,4.22
Thursday 11am,3
Thursday 12pm,8.17
Thursday 1pm,7.67
Thursday 2pm,7.19
Thursday 3pm,12.06
Thursday 4pm,14.83
Thursday 5pm,16.89
Thursday 6pm,17.22
Thursday 7pm,16.06
Thursday 8pm,15.67
Thursday 9pm,17.28
Thursday 10pm,18.78
Thursday 11pm,14.89
Friday 12am,20.44
Friday 1am,21.78
Friday 2am,17.22
Friday 3am,13.33
Friday 4am,10.17
Friday 5am,8.44
Friday 6am,7.94
Friday 7am,6.5
Friday 8am,5.72
Friday 9am,4.94
Friday 10am,4.94
Friday 11am,7.78
Friday 12pm,5.39
Friday 1pm,2.22
Friday 2pm,2.22
Friday 3pm,9.11
Friday 4pm,8.39
Friday 5pm,9.44
Friday 6pm,8.89
Friday 7pm,9.78
Friday 8pm,12.72
Friday 9pm,11.11
Friday 10pm,12.72
Friday 11pm,16.17
Saturday 12am,9.44
Saturday 1am,7.03
Saturday 2am,3.39
Saturday 3am,2.83
Saturday 4am,4.11
Saturday 5am,4.22
Saturday 6am,4
Saturday 7am,3.78
Saturday 8am,3.33
Saturday 9am,3.06
Saturday 10am,2.72
Saturday 11am,5.5
Saturday 12pm,3.28
Saturday 1pm,7.39
Saturday 2pm,8.89
Saturday 3pm,7.56
Saturday 4pm,11
Saturday 5pm,6.39
Saturday 6pm,5.5
Saturday 7pm,5.5
Saturday 8pm,5.72
Saturday 9pm,10.11
Saturday 10pm,14.5
Saturday 11pm,15
Sunday 12am,3.96
Sunday 1am,6.33
Sunday 2am,6.83
Sunday 3am,6.61
Sunday 4am,6.83
Sunday 5am,6.61
Sunday 6am,5.67
Sunday 7am,5.11
Sunday 8am,4.33
Sunday 9am,4.33
Sunday 10am,9
Sunday 11am,6.78
Sunday 12pm,3.67
Sunday 1pm,5.06
Sunday 2pm,6.56
Sunday 3pm,4.94
Sunday 4pm,2.94
Sunday 5pm,3.17
Sunday 6pm,4.83
Sunday 7pm,7.39
Sunday 8pm,12.61
Sunday 9pm,15.56
Sunday 10pm,19.56
Sunday 11pm,16.78
