Date/Time,Average Glucose level
Saturday 12am,123.08
Saturday 1am,140.17
Saturday 2am,145.67
Saturday 3am,151.83
Saturday 4am,163.25
Saturday 5am,134.67
Saturday 6am,119.5
Saturday 7am,93.17
Saturday 8am,60.42
Saturday 9am,42.08
Saturday 10am,74.67
Saturday 11am,132.25
Saturday 12pm,95.08
Saturday 1pm,63.58
Saturday 2pm,120.0
Saturday 3pm,134.25
Saturday 4pm,128.0
Saturday 5pm,112.75
Saturday 6pm,117.5
Saturday 7pm,91.42
Saturday 8pm,70.25
Saturday 9pm,70.58
Saturday 10pm,89.33
Saturday 11pm,80.33
Sunday 12am,73.99
Sunday 1am,40.0
Sunday 2am,40.0
Sunday 3am,40.0
Sunday 4am,41.83
Sunday 5am,51.0
Sunday 6am,64.75
Sunday 7am,74.58
Sunday 8am,86.92
Sunday 9am,194.42
Sunday 10am,254.58
Sunday 11am,202.75
Sunday 12pm,149.17
Sunday 1pm,137.42
Sunday 2pm,181.75
Sunday 3pm,264.75
Sunday 4pm,302.83
Sunday 5pm,301.75
Sunday 6pm,312.58
Sunday 7pm,301.92
Sunday 8pm,268.67
Sunday 9pm,225.58
Sunday 10pm,196.75
Sunday 11pm,155.48
Monday 12am,173.52
Monday 1am,165.58
Monday 2am,160.75
Monday 3am,159.58
Monday 4am,143.33
Monday 5am,131.42
Monday 6am,116.42
Monday 7am,96.33
Monday 8am,87.67
Monday 9am,103.08
Monday 10am,160.83
Monday 11am,101.58
Monday 12pm,113.75
Monday 1pm,122.25
Monday 2pm,118.71
Monday 3pm,160.67
Monday 4pm,172.17
Monday 5pm,148.5
Monday 6pm,167.58
Monday 7pm,179.5
Monday 8pm,185.83
Monday 9pm,199.83
Monday 10pm,250.04
Monday 11pm,237.36
Tuesday 12am,169.98
Tuesday 1am,162.33
Tuesday 2am,140.92
Tuesday 3am,136.33
Tuesday 4am,120.08
Tuesday 5am,105.5
Tuesday 6am,92.42
Tuesday 7am,69.33
Tuesday 8am,65.0
Tuesday 9am,105.42
Tuesday 10am,80.79
Tuesday 11am,61.98
Tuesday 12pm,69.57
Tuesday 1pm,77.16
Tuesday 2pm,84.75
Tuesday 3pm,92.34
Tuesday 4pm,99.93
Tuesday 5pm,107.52
Tuesday 6pm,115.12
Tuesday 7pm,122.71
Tuesday 8pm,130.3
Tuesday 9pm,137.89
Tuesday 10pm,159.67
Tuesday 11pm,130.0
Wednesday 12am,102.92
Wednesday 1am,55.67
Wednesday 2am,40.0
Wednesday 3am,40.0
Wednesday 4am,40.0
Wednesday 5am,40.0
Wednesday 6am,40.0
Wednesday 7am,40.0
Wednesday 8am,42.75
Wednesday 9am,143.75
Wednesday 10am,212.42
Wednesday 11am,185.67
Wednesday 12pm,133.83
Wednesday 1pm,130.08
Wednesday 2pm,114.67
Wednesday 3pm,201.17
Wednesday 4pm,218.0
Wednesday 5pm,205.58
Wednesday 6pm,208.17
Wednesday 7pm,214.67
Wednesday 8pm,217.83
Wednesday 9pm,165.5
Wednesday 10pm,202.92
Wednesday 11pm,181.5
Thursday 12am,140.99
Thursday 1am,69.67
Thursday 2am,114.5
Thursday 3am,140.42
Thursday 4am,144.25
Thursday 5am,136.0
Thursday 6am,119.75
Thursday 7am,103.0
Thursday 8am,82.08
Thursday 9am,139.17
Thursday 10am,198.25
Thursday 11am,135.17
Thursday 12pm,152.75
Thursday 1pm,146.38
Thursday 2pm,129.33
Thursday 3pm,131.58
Thursday 4pm,80.42
Thursday 5pm,88.33
Thursday 6pm,144.83
Thursday 7pm,217.0
Thursday 8pm,254.42
Thursday 9pm,251.67
Thursday 10pm,282.33
Thursday 11pm,264.52
Friday 12am,203.96
Friday 1am,168.83
Friday 2am,144.92
Friday 3am,127.58
Friday 4am,103.33
Friday 5am,69.58
Friday 6am,68.75
Friday 7am,51.0
Friday 8am,51.0
Friday 9am,127.5
Friday 10am,127.92
Friday 11am,79.58
Friday 12pm,93.42
Friday 1pm,91.42
Friday 2pm,95.5
Friday 3pm,164.83
Friday 4pm,112.42
Friday 5pm,62.0
Friday 6pm,64.75
Friday 7pm,128.83
Friday 8pm,120.0
Friday 9pm,110.17
Friday 10pm,178.25
Friday 11pm,209.42
